,GID,A10_관내_T,A10_관외_T,A20_관내_T,A20_관외_T,A30_관내_T,A30_관외_T,A40_관내_T,A40_관외_T,A50_관내_T,A50_관외_T,A60_관내_T,A60_관외_T,외국인_A10,외국인_A20,외국인_A30,외국인_A40,외국인_A50,외국인_A60,법인_A10,법인_A20,법인_A30,법인_A40,법인_A50,법인_A60,A10_관내_WD,A10_관외_WD,A20_관내_WD,A20_관외_WD,A30_관내_WD,A30_관외_WD,A40_관내_WD,A40_관외_WD,A50_관내_WD,A50_관외_WD,A60_관내_WD,A60_관외_WD,A10_관내_HD,A10_관외_HD,A20_관내_HD,A20_관외_HD,A30_관내_HD,A30_관외_HD,A40_관내_HD,A40_관외_HD,A50_관내_HD,A50_관외_HD,A60_관내_HD,A60_관외_HD
202304,다사621484,4,3,3,3,2,1,2,4,3,2,2,3,3,1,1,4,2,3,3,4,2,4,1,4,4,2,2,1,3,4,1,1,3,4,4,3,2,1,3,2,3,1,2,1,1,4,2,2
202304,다사616482,3,4,4,3,3,1,4,4,1,1,2,2,3,3,1,1,1,1,1,2,4,3,2,2,1,4,4,1,1,4,1,2,4,4,1,2,2,2,1,4,3,1,1,3,3,1,4,4
202304,다사616484,4,2,1,1,2,1,1,1,3,3,1,3,3,2,3,1,1,1,4,2,2,4,2,1,1,2,4,1,3,3,4,2,4,2,1,4,4,1,3,4,4,2,4,4,2,2,4,2
202304,다사641499,3,1,4,4,4,3,2,3,3,1,4,3,4,1,4,4,2,1,4,4,3,1,4,1,1,3,4,3,4,4,2,1,2,4,3,2,4,3,3,4,4,2,4,3,2,2,1,3
202304,다사615490,4,4,3,3,2,1,2,4,2,3,3,1,1,2,1,2,4,2,4,1,4,1,3,3,4,2,4,2,4,2,4,1,3,1,3,2,4,4,4,3,4,2,4,4,4,2,3,3
202304,다사639507,2,2,2,4,2,2,2,4,1,4,2,4,4,2,3,4,2,4,1,2,3,2,3,3,2,2,3,4,4,4,4,2,3,4,3,1,1,1,4,3,1,2,2,1,4,3,2,1
202304,다사640503,1,2,4,1,1,1,4,1,2,2,3,3,4,1,4,1,2,1,4,1,4,4,3,2,4,3,3,2,4,3,3,2,4,1,1,1,3,3,2,1,4,1,4,1,3,1,2,1
202304,다사636515,2,1,3,1,2,4,2,3,2,1,1,3,1,4,1,3,1,3,4,1,4,2,2,3,1,4,1,1,2,2,4,2,1,3,3,3,2,3,4,3,4,2,2,2,3,3,2,3
202304,다사638510,4,2,1,1,1,2,3,2,1,1,1,2,1,2,2,4,4,3,3,3,4,3,1,1,4,4,4,1,3,2,4,1,1,3,3,2,2,1,2,3,4,2,1,4,1,1,2,2
202304,다사624483,4,1,1,3,1,3,3,2,2,3,4,3,1,3,2,2,4,3,3,2,1,4,3,3,4,3,1,3,1,4,2,3,2,2,4,4,3,4,4,4,3,3,4,3,2,1,2,2
202304,다사622504,3,3,4,2,2,1,2,3,3,2,4,4,2,1,1,1,4,2,2,4,1,4,3,3,1,1,2,3,4,4,1,1,4,4,4,1,4,2,2,4,2,3,4,3,1,2,2,1
202304,다사644493,2,4,3,2,2,4,3,1,4,4,2,2,4,2,3,3,4,3,1,3,1,3,3,4,4,1,4,2,4,3,3,3,2,2,4,4,3,1,4,2,1,1,3,4,3,4,4,3
202304,다사645488,2,1,2,1,2,1,3,2,1,2,1,3,3,1,3,1,3,3,4,4,1,1,4,1,2,1,2,3,1,4,2,1,1,2,2,3,1,2,2,3,1,4,3,2,3,3,4,4
202304,다사635519,4,1,4,3,3,4,1,4,1,4,2,3,3,3,2,4,1,3,4,2,3,3,2,2,3,4,2,2,2,2,1,4,2,3,2,2,1,3,2,2,1,4,1,1,3,2,2,3
202304,다사637497,3,2,3,1,2,1,2,1,4,2,4,3,2,1,4,2,2,3,2,2,1,1,3,1,3,3,4,3,2,1,2,2,2,4,1,3,4,2,2,4,1,3,4,4,3,2,2,3
202304,다사639511,4,4,1,2,1,1,3,1,4,3,3,4,3,3,1,4,4,1,3,2,4,2,1,4,4,3,1,3,1,3,3,1,3,1,2,1,1,3,2,2,3,2,2,2,2,4,2,2
202304,다사622496,3,1,4,3,3,2,4,4,4,3,1,4,3,3,1,4,1,4,3,1,4,2,4,3,2,4,2,3,3,4,3,4,3,3,4,4,3,3,3,1,4,2,3,3,4,3,2,4
202304,다사634494,1,1,2,3,4,3,2,3,4,2,3,2,1,2,1,1,1,2,3,2,3,4,1,1,3,4,2,1,4,2,3,3,2,2,1,3,4,3,1,2,2,3,4,1,1,1,1,3
202304,다사630478,2,4,4,4,2,4,2,3,3,2,1,1,3,4,3,2,1,4,4,4,1,1,2,2,3,4,2,1,4,3,2,3,2,2,3,1,2,4,4,1,4,2,1,3,1,3,2,3
202304,다사624485,3,1,1,3,4,4,1,1,3,3,1,3,3,2,2,2,1,3,3,2,4,4,3,2,2,4,3,4,1,4,4,4,4,1,1,3,3,3,3,4,1,4,3,2,4,3,1,2
202304,다사620499,3,1,4,3,2,2,3,3,2,1,4,3,2,4,2,,3,1,3,1,4,2,4,2,3,2,2,3,4,2,4,1,1,2,1,2,4,1,2,3,3,2,2,1,4,3,4,2
202304,다사652502,2,2,1,4,4,2,3,2,3,3,4,3,1,4,3,3,4,1,3,2,3,2,2,1,4,3,4,2,4,4,2,2,1,3,1,3,3,4,4,4,3,2,4,2,4,2,1,2
202304,다사626496,3,2,2,3,2,2,2,3,3,1,1,1,1,1,1,1,3,4,3,2,2,1,4,3,3,2,2,1,4,2,1,4,1,3,2,4,1,3,2,1,3,3,4,1,1,2,2,1
202304,다사619492,4,3,3,1,2,2,2,3,1,2,2,3,2,3,2,3,1,3,3,2,4,4,4,3,3,1,4,4,3,2,4,1,4,3,3,1,4,3,1,2,2,3,1,2,2,1,1,3
202304,다사634519,2,4,3,2,3,3,1,2,3,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,3,2,3,2,3,3,3,3,3,2,1,4,3,3,4,2,1,3,3,3,4,4,1,2
202304,다사637512,2,2,3,2,3,2,2,3,2,3,1,3,1,3,2,4,4,1,2,3,4,2,2,4,3,4,3,3,2,4,2,4,1,4,1,3,4,1,3,3,4,1,1,2,1,4,4,1
202304,다사626508,4,1,3,1,1,3,2,2,2,4,4,2,3,3,3,4,4,3,4,4,2,3,4,2,3,4,4,1,3,3,4,3,1,2,1,4,3,3,3,2,4,4,1,2,4,1,2,4
202304,다사623500,4,1,1,2,3,1,2,1,4,2,3,1,4,4,4,1,3,2,4,2,4,3,4,3,1,1,3,4,2,4,3,1,4,2,4,3,4,4,4,2,4,4,4,1,1,2,3,2
202304,다사643488,1,3,3,4,1,2,4,4,1,2,3,2,1,4,2,3,1,3,1,3,2,2,4,1,2,3,3,2,1,1,2,4,4,1,4,4,3,4,4,3,1,1,4,1,3,1,1,4
202304,다사631493,4,3,2,3,2,1,1,1,2,1,4,4,4,3,1,1,3,2,1,3,2,4,4,2,1,2,2,4,3,2,1,1,3,3,3,3,1,2,4,3,1,3,4,1,4,1,1,3
202304,다사620497,3,2,4,4,2,2,1,2,2,3,1,1,4,4,1,1,1,1,3,4,3,3,3,4,1,3,3,4,3,1,3,3,4,3,2,2,4,4,4,2,2,3,2,2,4,2,4,4
202304,다사616496,3,2,3,4,3,4,4,4,1,3,2,3,3,1,2,3,2,1,2,2,1,4,1,1,1,3,4,4,3,3,1,1,4,2,1,2,4,2,2,1,4,3,2,2,3,1,3,4
202304,다사634506,1,2,3,4,3,3,3,2,3,1,1,3,3,2,4,1,1,1,2,2,1,3,4,3,1,1,4,2,4,3,3,3,1,2,1,1,4,2,2,4,2,2,3,2,4,2,4,2
202304,다사613485,2,1,3,1,4,1,2,4,2,4,1,1,3,2,2,1,4,2,2,4,3,2,1,3,1,2,1,1,4,2,4,1,1,2,3,2,3,2,3,3,4,1,4,3,1,1,4,3
202304,다사631510,1,4,4,3,2,4,2,4,3,2,2,4,2,4,1,2,4,2,2,4,4,3,1,4,4,4,2,2,4,3,1,4,2,3,2,4,4,4,2,2,1,4,1,1,1,2,1,3
202304,다사629481,3,3,4,2,2,1,4,1,4,1,3,1,3,1,4,2,4,4,3,1,2,2,2,1,1,2,2,3,2,3,1,4,1,3,2,2,4,1,4,4,3,2,4,2,1,1,4,2
202304,다사626479,4,4,1,1,2,3,1,2,3,2,4,4,2,1,1,2,3,2,4,2,4,2,4,3,4,2,2,2,2,2,1,2,2,2,1,4,1,3,2,1,1,4,3,2,1,1,4,3
202304,다사625513,4,2,4,3,2,4,2,3,3,3,3,4,3,3,2,2,2,2,1,1,3,2,4,3,4,2,1,1,3,4,4,2,4,1,2,3,4,2,4,1,4,3,4,4,4,4,1,3
202304,다사630524,3,3,2,4,1,1,4,1,3,4,3,4,2,3,1,3,4,3,1,1,2,3,1,3,2,2,3,1,4,1,4,2,2,3,3,4,4,1,4,4,2,3,3,2,2,3,1,4
202304,다사623510,1,1,1,2,1,3,3,1,3,1,1,4,4,1,2,3,1,3,4,3,4,4,3,1,2,4,1,2,2,1,4,2,2,3,2,4,3,2,2,1,2,4,2,3,4,2,4,4
202304,다사636502,2,4,2,4,1,1,1,4,2,2,4,1,1,1,4,2,4,1,2,3,1,1,4,4,3,2,3,1,3,2,2,2,1,2,3,4,3,1,3,4,2,1,1,4,3,3,3,4
202304,다사631520,4,3,2,2,2,4,2,4,4,1,3,4,1,4,2,1,1,1,4,3,1,3,1,3,1,2,2,1,1,4,4,4,4,4,3,2,3,2,3,4,2,3,3,3,4,3,4,2
202304,다사631524,2,2,2,3,4,3,4,4,3,1,2,3,1,3,3,3,1,4,1,4,3,2,2,1,3,4,4,1,2,4,2,1,2,4,4,3,1,3,2,3,4,3,1,3,2,3,2,4
202304,다사627484,2,2,2,1,3,3,1,1,1,2,1,2,1,4,1,2,4,3,4,2,4,3,3,1,4,4,2,2,1,2,3,1,2,2,3,4,3,2,1,1,2,2,2,4,1,3,2,3
202304,다사639490,1,2,3,2,3,1,2,3,4,3,4,3,2,3,4,2,4,1,2,4,4,1,3,1,4,3,4,,2,3,1,2,2,4,3,4,2,4,1,4,2,3,3,1,2,3,1,2
202304,다사642501,1,3,4,1,1,2,1,4,1,1,1,1,3,4,4,3,4,2,3,4,1,2,3,3,2,4,1,4,4,4,3,1,2,1,3,3,3,1,3,2,4,2,2,1,4,3,4,2
202304,다사629479,1,3,3,3,1,4,3,2,4,3,2,3,3,1,4,4,2,1,3,2,4,2,3,4,4,1,3,4,4,1,1,2,1,2,1,2,2,3,2,4,1,4,4,4,4,2,4,4
202304,다사648495,4,4,3,1,2,4,1,3,3,3,1,3,1,3,1,2,2,3,2,1,4,4,1,2,4,1,3,3,1,4,2,3,2,1,4,4,2,3,4,3,1,1,3,1,3,1,1,2
202304,다사635507,4,1,4,2,4,3,1,3,4,4,3,3,3,1,1,4,2,1,4,3,2,3,4,3,3,2,2,3,1,2,2,1,2,1,4,1,2,3,3,4,2,4,2,2,3,4,3,3
202304,다사625496,1,4,3,2,3,2,3,1,,2,2,1,2,3,4,4,2,4,3,1,2,1,3,4,2,4,2,1,4,3,1,1,1,1,3,2,4,4,3,3,2,2,2,2,3,3,1,3
202304,다사626497,1,1,4,3,2,2,3,3,1,2,4,1,1,4,4,4,4,1,3,1,3,1,1,3,3,1,3,1,1,3,1,4,4,2,4,1,1,2,3,4,2,1,3,3,3,3,4,4
202304,다사627521,2,3,1,1,2,3,4,1,3,4,3,4,2,2,4,4,4,3,3,1,1,4,4,2,2,4,3,2,4,1,4,4,2,1,2,1,3,4,4,1,1,1,4,2,3,2,3,2
202304,다사635504,2,3,1,3,4,4,3,3,2,3,3,2,3,1,1,2,3,2,1,1,2,2,2,4,1,4,4,2,4,2,2,3,1,2,4,3,4,2,3,3,2,4,3,2,4,2,4,1
202304,다사615487,3,2,4,3,1,4,1,1,1,2,2,4,2,3,2,4,4,3,1,2,4,1,4,1,2,4,3,1,4,1,1,4,1,4,3,2,3,3,1,2,1,1,4,3,4,1,1,1
202304,다사638509,3,4,3,2,3,1,3,2,4,4,2,4,2,2,2,1,2,1,3,4,2,4,1,1,2,2,2,3,4,2,4,4,4,4,1,3,2,1,1,2,2,3,2,4,4,4,4,2
202304,다사649500,2,1,2,2,4,1,1,2,2,2,3,3,2,3,4,2,2,3,1,2,2,1,3,3,4,2,1,2,1,4,3,2,4,4,2,1,3,4,2,1,3,1,3,3,2,1,1,4
202304,다사647499,1,1,4,1,4,4,2,2,4,1,1,4,2,1,1,3,1,3,4,2,2,4,3,2,2,4,3,1,4,3,2,2,1,4,2,2,2,1,1,3,1,3,2,1,4,1,1,3
202304,다사624479,2,3,3,4,2,2,2,3,4,1,3,3,4,2,2,3,2,3,4,2,4,3,2,2,3,1,3,3,4,1,2,3,3,1,1,2,1,3,2,4,3,3,3,4,1,3,1,3
202304,다사631495,1,1,1,4,2,1,2,3,4,4,4,2,2,3,3,1,1,1,3,2,2,4,1,3,2,4,1,2,2,4,4,2,2,1,1,3,3,2,2,4,1,4,2,1,4,2,2,1
202304,다사634512,4,4,4,1,2,4,4,1,1,1,1,2,2,1,2,3,1,4,1,4,1,4,1,2,3,2,2,2,4,1,2,1,2,4,2,4,4,4,3,4,2,1,2,2,3,2,1,4
202304,다사630519,1,4,3,3,3,1,3,2,1,4,4,1,2,2,4,1,2,2,2,1,4,2,4,2,1,1,1,2,1,4,4,4,4,1,3,2,4,1,3,1,4,3,4,2,4,1,3,1
202304,다사620486,3,2,4,1,4,3,4,2,4,2,2,4,1,4,1,4,4,1,4,4,3,3,3,4,1,4,2,4,2,1,3,4,2,1,4,4,2,2,3,3,2,3,3,4,1,1,3,3
202304,다사645494,2,3,4,4,1,1,1,1,2,3,4,1,1,3,3,1,2,1,4,2,2,4,3,1,1,3,3,3,2,4,1,3,2,3,2,2,1,1,4,1,4,1,3,3,4,3,1,4
202304,다사650492,2,2,4,3,4,2,1,1,3,2,4,4,3,4,1,3,4,4,1,4,3,1,2,2,4,2,3,3,4,4,4,3,2,3,4,2,1,1,2,3,4,3,2,3,4,4,4,4
202304,다사628505,3,4,4,2,4,2,3,1,3,1,1,1,2,2,1,4,3,1,2,1,1,3,4,2,4,3,1,4,3,3,4,2,4,4,1,1,2,3,4,3,3,2,3,2,3,1,4,1
202304,다사620490,3,4,1,1,3,4,2,3,4,3,1,3,3,4,3,1,1,3,1,2,3,4,1,1,4,3,3,4,3,1,1,4,4,1,3,1,3,1,1,2,2,4,3,3,1,4,3,3
202304,다사623484,2,1,3,4,3,1,1,4,1,4,1,4,3,2,3,2,4,1,2,4,1,3,1,4,4,4,4,4,2,1,4,2,2,2,1,3,1,4,3,2,4,3,2,3,2,4,3,3
202304,다사624498,4,1,3,2,3,1,1,2,3,3,1,4,3,4,1,1,3,1,3,2,2,3,4,2,2,3,3,2,1,3,3,3,1,2,4,3,3,4,2,4,1,3,3,1,2,3,4,2
202304,다사639483,1,4,3,4,2,4,2,3,1,2,4,2,1,2,3,3,1,2,2,1,2,2,4,2,4,1,1,4,4,1,3,2,2,4,2,2,1,2,4,4,4,2,2,3,3,1,3,1
202304,다사632520,2,4,2,2,1,1,4,3,4,3,2,1,1,2,3,2,3,4,2,2,1,2,4,3,2,1,1,1,3,3,1,2,4,1,3,1,2,1,1,1,3,2,2,4,2,2,3,2
202304,다사625488,2,2,3,4,1,2,1,4,4,1,3,3,4,4,1,2,2,3,2,1,2,2,1,4,2,1,1,4,1,2,2,3,2,3,2,3,3,2,3,2,1,1,1,1,4,4,1,1
202304,다사635503,2,3,1,2,3,4,3,1,4,1,4,3,4,4,2,4,2,3,4,1,3,4,1,4,4,4,3,2,3,2,4,2,4,1,4,2,3,1,4,2,1,1,3,2,2,1,4,1
202304,다사638503,2,2,1,3,3,1,1,4,1,2,3,3,1,3,4,4,3,3,2,3,2,3,4,4,4,1,3,3,1,1,3,2,3,1,3,3,4,3,1,1,4,4,3,4,3,4,4,4
202304,다사629524,2,1,2,2,3,3,3,4,2,2,1,1,4,2,2,3,3,2,1,4,3,2,3,4,4,4,4,1,4,2,2,3,1,4,4,4,1,2,3,4,3,4,2,1,1,3,4,1
202304,다사624512,4,3,1,3,1,3,1,2,4,1,2,3,2,1,3,2,1,4,4,4,4,1,2,3,1,4,4,3,2,3,3,2,3,2,4,4,4,2,2,1,2,3,4,2,1,3,4,3
202304,다사623511,3,3,1,2,2,1,4,2,3,2,3,3,4,3,4,2,2,3,4,4,2,4,2,2,3,4,3,3,1,4,4,4,1,4,3,3,2,1,3,3,4,1,4,1,3,2,4,2
202304,다사632522,2,4,4,4,4,1,2,3,1,2,2,3,3,1,1,4,3,4,1,1,2,1,1,1,2,1,2,4,1,4,1,2,1,1,3,4,2,2,4,1,3,3,2,2,1,2,4,2
202304,다사642494,1,3,3,4,4,3,2,4,3,1,,2,2,1,4,1,3,2,1,4,3,2,2,4,3,3,3,4,3,3,1,1,1,3,2,2,4,4,1,1,3,2,4,2,2,2,4,3
202304,다사617484,1,3,2,2,1,1,2,3,1,1,2,3,3,1,4,2,3,3,2,3,3,2,3,4,3,3,3,1,4,1,4,1,4,4,1,1,1,4,1,3,2,2,3,1,1,4,4,1
202304,다사628520,3,2,1,3,1,3,1,3,4,1,1,3,4,4,4,4,1,2,3,4,3,3,4,1,4,3,4,2,2,3,2,1,4,2,3,2,1,4,2,3,1,4,3,2,3,2,3,3
202304,다사630513,2,2,3,3,1,2,1,2,1,3,4,1,4,2,4,3,2,3,1,1,2,1,2,3,1,3,4,1,2,3,3,4,3,3,3,4,4,4,4,3,2,4,2,1,2,4,2,2
202304,다사622500,1,3,4,4,3,1,3,4,3,3,4,4,2,4,3,4,3,4,3,2,3,3,4,3,3,1,2,3,2,2,4,4,4,3,3,1,2,2,3,3,4,1,3,1,1,2,3,3
202304,다사634507,1,1,4,1,4,2,3,2,3,4,1,3,2,3,4,3,1,4,4,3,1,3,2,3,4,2,4,3,1,3,1,1,2,4,2,3,1,2,1,1,2,1,4,4,4,4,4,2
202304,다사634505,3,2,3,1,3,2,1,1,4,1,2,1,3,3,1,1,2,2,2,3,4,4,1,4,4,3,3,4,4,3,3,1,3,3,2,2,1,3,3,4,4,3,2,2,2,1,3,1
202304,다사633491,1,1,2,4,3,4,4,3,1,3,2,3,4,2,2,1,1,1,3,3,3,4,3,2,2,2,4,4,4,1,1,1,1,1,3,3,4,3,2,4,4,3,3,4,4,4,2,2
202304,다사633514,4,2,2,2,4,3,4,4,3,3,3,4,2,2,4,4,3,2,3,4,3,1,3,3,4,4,1,3,3,4,3,1,2,1,4,4,1,3,2,1,3,2,3,3,4,1,4,4
202304,다사627510,3,3,4,2,3,4,2,2,1,3,1,4,4,1,2,4,3,2,4,1,1,1,3,2,4,4,2,2,4,1,4,4,2,2,2,2,4,2,2,1,4,3,3,2,3,1,2,1
202304,다사631513,4,1,2,1,4,3,2,1,3,1,2,2,1,2,2,4,4,3,2,4,2,4,2,4,4,1,4,3,2,1,4,3,2,1,2,3,3,4,1,4,3,3,2,1,3,1,4,2
202304,다사654499,4,4,1,4,4,3,4,2,3,4,4,3,4,1,3,3,4,1,2,1,1,2,4,1,3,2,1,4,3,2,4,4,4,3,3,3,2,1,4,3,1,3,4,2,3,4,4,1
202304,다사622498,4,3,1,3,1,3,2,2,2,4,1,4,1,4,3,1,1,1,1,3,2,2,1,1,4,4,3,2,1,3,2,3,4,1,4,2,4,3,3,1,3,2,3,2,2,2,3,3
202304,다사633504,1,3,1,2,3,2,4,2,4,4,4,3,4,3,4,3,3,2,3,4,4,3,3,2,3,1,3,2,1,3,2,4,3,1,1,3,1,4,3,2,3,2,4,3,4,3,2,1
202304,다사627477,3,1,1,4,4,2,1,4,1,2,4,1,3,4,2,2,3,4,2,3,3,2,2,4,1,3,4,2,4,3,2,4,4,4,2,3,2,4,4,4,4,4,4,3,4,1,2,1
202304,다사638507,1,1,3,2,4,2,3,1,4,3,1,3,4,3,1,1,4,1,3,3,3,4,2,3,3,4,3,4,3,1,3,2,1,1,4,2,3,2,2,2,2,3,2,4,4,2,2,2
202304,다사630508,3,4,1,3,1,3,3,2,2,4,4,1,4,4,2,2,4,2,1,3,2,3,3,1,1,4,3,2,2,1,4,3,1,4,4,1,3,3,1,1,1,1,3,1,2,3,1,1
202304,다사617496,2,3,2,,4,4,4,3,4,2,3,1,4,3,4,3,3,4,2,3,2,1,3,4,4,4,3,2,1,2,4,1,1,1,3,1,1,4,2,3,1,1,3,4,3,2,4,2
202304,다사625516,2,1,4,3,1,3,3,4,4,2,2,4,4,2,3,1,1,3,4,4,2,1,1,1,3,3,1,1,2,2,4,3,4,4,1,4,2,2,2,4,2,1,2,3,1,1,3,2
202304,다사634510,3,3,1,1,4,4,4,4,2,1,3,3,2,3,1,3,3,3,4,2,4,4,4,1,1,1,2,3,3,4,2,4,4,3,2,1,1,4,3,2,2,1,3,4,2,3,4,4
202304,다사618497,1,1,4,2,4,2,1,4,1,2,3,2,3,1,4,2,3,1,1,2,4,4,3,1,4,3,4,4,2,2,1,1,4,4,2,2,3,1,3,4,2,4,3,4,2,3,4,3
202304,다사634497,3,1,4,2,3,1,1,1,2,3,2,3,3,4,3,1,2,1,3,2,4,2,1,2,2,3,1,4,2,1,3,3,3,1,1,1,4,4,4,4,4,2,1,1,4,3,2,1
202304,다사634524,3,4,4,4,4,4,3,2,1,4,1,1,1,1,3,4,1,2,2,3,3,2,1,1,2,3,3,2,4,3,3,1,4,4,1,3,1,2,4,3,4,1,1,1,1,3,3,3
202304,다사614486,2,4,1,4,1,4,1,1,1,1,1,1,2,4,2,2,3,3,1,2,3,4,3,2,4,3,2,2,4,1,2,3,2,3,3,4,2,4,4,2,2,2,2,4,3,4,3,4
202304,다사619495,4,2,1,1,2,2,1,4,4,1,1,3,3,1,2,1,2,3,4,2,3,1,2,3,1,3,1,1,1,1,2,4,1,3,1,1,1,1,3,4,4,1,1,4,4,4,2,2
202304,다사621505,2,4,2,4,3,3,3,3,3,3,2,3,4,1,1,3,3,2,3,1,4,2,3,4,2,3,4,4,2,2,2,3,3,4,1,2,2,1,1,4,3,4,1,2,4,1,4,4
202304,다사623480,2,3,2,1,2,2,3,2,2,1,1,4,2,4,1,1,3,2,2,2,1,4,4,3,2,2,2,4,4,4,1,2,1,2,2,4,1,2,3,1,4,3,2,1,4,3,1,3
202304,다사634482,4,4,4,1,1,1,1,1,3,2,1,1,3,3,3,4,1,2,2,4,4,3,1,3,2,4,3,2,4,1,4,3,2,1,1,1,4,2,2,1,3,3,4,4,2,2,2,2
202304,다사615485,2,1,3,3,4,1,1,2,3,3,1,3,1,2,4,4,2,1,3,4,2,2,2,2,1,1,4,4,3,2,4,2,2,2,2,1,1,2,1,3,2,3,3,1,3,3,1,1
202304,다사639512,3,4,1,1,1,2,2,3,4,2,4,1,4,4,1,4,4,4,2,4,3,1,2,3,3,4,2,1,1,4,2,3,3,1,1,1,4,4,2,4,4,4,3,2,3,2,4,2
202304,다사633497,4,4,3,4,1,1,1,3,2,1,2,4,2,3,2,1,4,1,1,2,1,2,4,4,1,4,1,2,4,1,2,4,1,1,4,3,1,1,3,4,1,3,4,1,3,1,4,2
202304,다사620501,4,2,2,3,3,4,4,4,2,1,3,3,4,3,3,3,4,3,1,2,4,1,2,3,2,1,2,4,3,2,2,4,3,3,1,1,1,4,1,3,1,1,3,4,4,3,2,2
202304,다사653497,2,4,1,1,1,4,3,1,3,2,4,3,4,1,1,2,2,3,3,4,3,1,3,4,3,2,2,3,3,2,1,1,1,3,2,1,4,2,4,1,4,2,3,1,2,2,2,1
202304,다사624480,2,1,2,1,1,2,1,1,1,1,4,3,2,3,4,2,2,3,4,3,2,3,1,3,2,4,2,3,2,2,1,4,4,1,4,3,3,2,1,1,3,4,1,4,2,4,1,1
202304,다사634481,3,2,2,1,1,3,4,2,2,1,4,1,3,2,4,1,4,1,2,1,4,3,3,1,1,3,1,2,4,4,3,4,3,2,4,3,2,3,4,1,1,3,4,2,3,1,1,2
202304,다사629509,1,3,1,4,3,2,1,3,2,1,2,4,3,2,1,4,1,3,3,1,4,2,3,3,4,1,3,2,2,1,3,3,3,1,3,2,4,1,4,1,2,4,1,2,4,1,2,2
202304,다사637509,1,4,3,2,2,1,4,1,2,4,3,2,3,4,1,4,1,2,2,3,4,4,2,3,4,1,1,1,4,4,1,2,2,2,2,3,1,4,2,1,4,2,1,1,3,3,4,3
202304,다사645493,3,1,2,3,4,3,2,4,1,1,3,2,1,4,2,3,4,1,4,3,2,4,2,2,2,3,3,4,2,4,3,2,4,1,3,3,1,2,1,4,2,1,3,1,2,3,1,4
202304,다사632525,4,4,3,3,3,4,2,2,4,4,3,1,3,4,4,4,4,1,4,3,2,3,1,2,4,2,2,2,3,4,4,4,2,2,3,2,2,4,4,2,3,3,1,4,4,4,1,2
202304,다사645501,4,2,1,3,1,4,3,3,2,3,3,2,3,2,3,2,3,4,1,1,1,2,1,2,3,4,3,2,3,2,4,4,4,3,1,1,2,1,2,1,1,4,2,4,3,3,4,4
202304,다사632490,2,2,1,4,1,1,2,1,1,3,4,3,2,3,2,3,2,3,4,4,1,4,2,1,3,1,2,2,3,3,1,4,4,2,1,4,2,4,4,4,2,3,3,2,2,4,2,4
202304,다사639501,3,4,2,2,2,3,4,2,4,1,1,4,2,3,3,4,4,3,1,3,1,1,1,3,2,1,2,4,4,3,1,3,3,4,2,1,2,3,3,2,4,1,4,4,1,2,2,1
202304,다사651498,4,1,2,2,1,3,4,3,2,3,4,1,3,2,4,2,4,3,3,4,3,4,1,4,2,4,4,1,1,3,3,1,1,1,2,3,2,1,3,4,3,3,2,1,2,1,1,3
202304,다사637504,4,4,4,3,3,3,2,3,4,4,3,1,1,3,3,1,3,1,4,3,3,2,3,2,4,3,4,3,3,2,3,4,1,1,2,2,1,3,1,4,3,1,2,1,1,1,1,4
202304,다사629514,2,2,4,1,3,2,3,2,2,4,3,1,3,1,1,1,4,4,3,2,1,4,4,1,3,2,1,3,4,4,4,3,1,3,3,4,3,3,1,1,2,1,2,2,3,3,2,3
202304,다사633478,4,4,1,3,2,4,2,3,3,2,1,4,3,1,2,3,1,4,1,1,3,3,1,1,1,1,3,3,4,1,4,1,4,4,4,2,4,2,2,4,1,4,4,4,1,1,1,1
202304,다사631478,2,2,1,4,4,2,4,4,2,2,1,4,4,3,2,3,2,4,2,2,2,3,4,3,2,2,4,3,4,4,2,1,4,2,4,3,3,4,3,1,2,2,2,2,1,4,3,1
202304,다사633487,4,2,1,1,2,4,1,4,2,4,4,1,3,2,3,3,1,4,3,3,4,1,4,1,1,1,1,4,4,3,4,3,3,1,1,3,4,2,4,2,1,4,4,1,2,4,2,3
202304,다사621500,3,1,2,4,4,3,2,4,3,2,4,3,2,3,1,4,2,1,4,3,1,3,1,4,4,4,3,1,1,2,1,2,2,4,2,3,1,4,4,2,1,1,3,2,1,1,1,2
202304,다사635506,3,2,3,1,1,1,2,4,2,2,2,4,2,4,3,3,4,2,3,4,2,2,3,1,4,3,1,1,4,3,2,1,1,3,2,1,1,2,1,1,1,2,3,4,4,3,4,3
202304,다사622487,3,2,4,2,3,1,3,3,2,3,2,2,2,4,3,2,1,4,1,4,4,4,1,3,4,3,3,1,2,2,4,4,4,4,1,3,4,4,2,1,2,3,2,4,2,4,2,4
202304,다사640494,2,1,4,3,1,4,2,3,4,2,3,1,3,1,4,2,3,3,1,4,3,2,4,1,1,2,3,1,1,2,1,2,3,1,2,2,1,1,3,2,1,1,2,4,1,1,3,4
202304,다사641488,4,4,4,1,2,2,1,1,1,1,1,2,1,4,1,3,4,2,1,4,1,2,3,3,3,4,1,3,1,3,4,3,3,3,2,2,4,2,4,4,3,3,3,3,2,2,3,2
